,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,City,Country
0,Bombay Shaving,2015,Mumbai,E-commerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000,Series A,Mumbai,India
1,Ruangguru,2014,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000,Series C,Mumbai,India
2,Eduisfun,2015,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000,Fresh funding,Mumbai,India
3,HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000,Series D,Chennai,India
4,Nu Genes,2004,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000,Series A,Telangana,India
5,FlytBase,2015,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed, ,Series A,Pune,India
6,Finly,2015,Banglore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.", ,Series A,Banglore,India
7,Kratikal,2013,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000,Pre series A,Noida,India
8,Quantiphi,2015,Banglore,AI & Tech,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000,Series A,Banglore,India
9,Lenskart,2010,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000,Series G,Delhi,India
10,Cub McPaws,2010,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha  kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts, ,Series A,Mumbai,India
11,Appnomic,2015,Banglore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000,Series A,Banglore,India
12,Kaleidofin,2018,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000,Series A,Chennai,India
13,JobSquare,2019,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500,Series A,Ahmedabad,India
14,Open Secret,2015,Banglore,Food & tech,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners, ,Series A,Banglore,India
15,LivFin,2017,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000,Series A,Delhi,India
16,Byju's,2011,Banglore,Edtech,Provides online learning classes,Byju Raveendran,"South Africas Naspers Ventures, the CPP Investment Board",540000000,Series A,Banglore,India
17,Zest Money,2015,Banglore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000,Series B,Banglore,India
18,Witblox,2014,Banglore,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700,Series A,Banglore,India
19,Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.", ,Pre series A,Gurugram,India
20,SalaryFits,2015,Banglore,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000,Series A,Banglore,India
21,Pristyn Care,2018,Banglore,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000,Series B,Banglore,India
22,Springboard,2013,Banglore,Edtech,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000,Post series A,Banglore,India
23,DROR Labs Pvt. Ltd,2018,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures, ,Series A,Delhi,India
24,Medlife,2014,Banglore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000,Series A,Banglore,India
25,Seekify,2019,Delhi,SaaS,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000,Seed funding,Delhi,India
